8	6	93.1	157.3	666.7	13.5	28.7	28	2.7	0	0
3	4	93.1	157.3	666.7	13.5	21.7	40	0.4	0	2.47
8	5	93.1	157.3	666.7	13.5	26.8	25	3.1	0	0.68
8	5	93.1	157.3	666.7	13.5	24	36	3.1	0	0.24
6	5	93.1	157.3	666.7	13.5	22.1	37	3.6	0	0.21
7	4	91.9	109.2	565.5	8	21.4	38	2.7	0	1.52
6	3	91.6	138.1	621.7	6.3	18.9	41	3.1	0	10.34
2	5	87.5	77	694.8	5	22.3	46	4	0	0
8	6	94.2	117.2	581.1	11	23.9	41	2.2	0	8.02
4	3	94.2	117.2	581.1	11	21.4	44	2.7	0	0.68
3	4	91.8	170.9	692.3	13.7	20.6	59	0.9	0	0
7	4	91.8	170.9	692.3	13.7	23.7	40	1.8	0	1.38
2	4	93.6	97.9	542	14.4	28.3	32	4	0	8.85
3	4	91.6	112.4	573	8.9	11.2	84	7.6	0	3.3
2	4	91.6	112.4	573	8.9	21.4	42	3.1	0	4.25
6	3	91.1	141.1	629.1	7.1	19.3	39	3.6	0	1.56
4	4	94.3	167.6	684.4	13	21.8	53	3.1	0	6.54
4	4	93.7	102.2	550.3	14.6	22.1	54	7.6	0	0.79
6	5	94.3	131.7	607.1	22.7	19.4	55	4	0	0.17
2	2	92.1	152.6	658.2	14.3	23.7	24	3.1	0	0
3	4	92.1	152.6	658.2	14.3	21	32	3.1	0	0
4	4	92.1	152.6	658.2	14.3	19.1	53	2.7	0	4.4
2	2	92.1	152.6	658.2	14.3	21.8	56	3.1	0	0.52
8	6	92.1	152.6	658.2	14.3	20.1	58	4.5	0	9.27
2	5	92.1	152.6	658.2	14.3	20.2	47	4	0	3.09
4	6	84.4	27.2	353.5	6.8	4.8	57	8.5	0	8.98
8	6	84	27.8	354.6	5.3	5.1	61	8	0	11.19
4	6	84.6	26.4	352	2	5.1	61	4.9	0	5.38
4	4	85.4	25.4	349.7	2.6	4.6	21	8.5	0	17.85
3	4	85.4	25.4	349.7	2.6	4.6	21	8.5	0	10.73
4	4	85.4	25.4	349.7	2.6	4.6	21	8.5	0	22.03
4	4	85.4	25.4	349.7	2.6	4.6	21	8.5	0	9.77
4	6	84.7	26.7	352.6	4.1	2.2	59	4.9	0	9.27
6	5	85.4	25.4	349.7	2.6	5.1	24	8.5	0	24.77
6	3	84.9	27.5	353.5	3.4	4.2	51	4	0	0
3	4	86.9	6.6	18.7	3.2	8.8	35	3.1	0	1.1
5	4	85.2	4.9	15.8	6.3	7.5	46	8	0	24.24
2	5	93.9	169.7	411.8	12.3	23.4	40	6.3	0	0
7	6	91.2	183.1	437.7	12.5	12.6	90	7.6	0.2	0
7	4	91.6	104.2	474.9	9	22.1	49	2.7	0	0
7	4	91.6	104.2	474.9	9	24.2	32	1.8	0	0
7	4	91.6	104.2	474.9	9	24.3	30	1.8	0	0
2	5	91.6	104.2	474.9	9	18.7	53	1.8	0	0
9	4	91.6	104.2	474.9	9	25.3	39	0.9	0	8
4	5	91.6	100.2	466.3	6.3	22.9	40	1.3	0	2.64
7	6	93.1	180.4	430.8	11	26.9	28	5.4	0	86.45
8	6	92.3	88.8	440.9	8.5	17.1	67	3.6	0	6.57
7	5	93.1	180.4	430.8	11	22.2	48	1.3	0	0
6	4	90.4	89.5	290.8	6.4	14.3	46	1.8	0	0.9
8	6	90.4	89.5	290.8	6.4	15.4	45	2.2	0	0
8	6	91.2	147.8	377.2	12.7	19.6	43	4.9	0	0





